doi,paragraph,synthesis_label
10.1002/adfm.202102142,"Synthesis of the Cu/Cu2O and Cu2O Aerogels: First, 150 mL of distilled (DI) water was purged by nitrogen in sealed round flask for 30 min. Second, 15 mL of CuCl2 (0.1 m) and 15 mL of NaOH (0.2 m) were added under vigorous stirring with maintaining purging. After 30 min of stabilization, 150 米L of ethanol and a controlled amount of NaBH4 in 25 mL of DI water were rapidly added into this solution. The mass of the added NaBH4 was 12.5, 25, 37.5, 50, 62.5, or 70?mg for the five Cu/Cu2O aerogels, respectively, as well as the Cu2O aerogel. After 30? min, the mixture was centrifuged and rinsed several times with water, resulting in a black powder. These samples were dried under vacuum overnight.",1
10.1002/adma.201803111,"Synthesis of Nanoporous Copper: All chemicals were of analytical grade and used as received without further purification unless otherwise noted. The nanoporous copper were fabricated through the annealing of Cu(OH)2 nanorods and the electrochemical reduction of the nanoporous CuO. Firstly, the Cu(OH)2 nanorods were prepared by a literature method.[54] Typically, 1 g of Cu(NO3)2 is first dissolved in 100 mL distilled water. Then, 30 mL NH3?H2O (0.15 m) solution was added to the Cu(NO3)2 solution under constant stirring at room temperature. A blue precipitate of Cu(OH)2 was produced when dropwise added 10 mL of NaOH (1 m) solution (＞2 mL min?1) to the above solution to adjust the pH value to 9每10. After 30 min, the blue Cu(OH)2 precipitate was filtered washed several times to obtain a solid product, and then dried in the vacuum oven for overnight. Secondly, the nanoporous CuO was prepared by annealing the Cu(OH)2 nanorods in the static air atmosphere at 500 ～C for 2 h with a heating rate of 32 ～C min?1. At last, the nanoporous copper was obtained by the electrochemical reduction of nanoporous CuO on GDL at a constant current density of 10 mA cm?2 in the same cell as CO2 reduction, and the corresponding applied voltages of different electrolyte were listed in the Table S7 in the Supporting Information.",1
10.1002/adma.202004393,"Cathode Preparation: CuTHQ NFs were synthesized using a liquidphase exfoliation method. About 30? mg of the CuTHQ powder was dispersed in 12?mL of IPA. Ultrasonication (Vibra Cell Sonics 130 W) was used for 4每6 h followed by centrifugation for 60 min at 2000每3000?rpm to obtain the corresponding reduced lateral sizes of NFs. For cathode preparation, 200?mg of CuTHQ NFs was deposited on 1 cm2 of GDE (Sigracet 25 BC, purchased from FuelCellsEtc). The coated substrate was dried overnight in an argon filled glove box.",1
10.1002/admi.201801200,"First, pristine NF (3 cm ℅ 3 cm) was washed with ethanol and 0.5 m HCl for 15 min each to remove attached organic compound and native oxide layer. After rising with deionized water, the prepared NF was thorough dried. For Cu electrodeposition on NF, constant current (?1.5 A) was applied with prepared NF as cathode immersed into a solution of 0.5 m CuSO4 and 1.0 m H2SO4 for 2000 s. The fresh sample was washed several times with deionized water and thorough dried by blowing Ar gas. The prepared sample was heated at 500 ～C for 12 h in air atmosphere and cooled down to room temperature (25每30 ～C) over several hours. The annealed dark gray sample was then electrochemically reduced to dark red oxide-derived Cu catalyst in 0.5 m KHCO3 solution at constant potential of ?1.8 V versus SCE for several minutes until the reduction current curve became stable.",1
10.1002/admi.201801200,"Then, Pb was electrodeposited on oxide-derived Cu in a twoelectrode system with prepared polished Pb foil as anode, where the electrolyte was an alkaline electroplating solution consisting of 73.23 g L?2 Pb(CH2COO)2﹞3H2O with 200.08 g L?1 NaOH, 23.4 g L?1 CH3COONa﹞3H2O, and 26.23 g L?1 NaKC4H4O6﹞4H2O. Constant current (?1.5 A) was applied with prepared oxide-derived Cu immersed into the alkaline plating solution at 70 ～C while varying the deposition charge (15, 30, 60, 75, 150 C). The sample obtained was marked as Pbed/Cu. Followed by drying with blowing Ar gas after washing several times with deionized water, the prepared sample was heated at 300 ～C in muffle furnace and cooled down to room temperature over several hours. The annealed sample was then electroreduced in same way. The sample obtained was marked as Pbar/Cu. All the above electrochemical experiments were conducted at room temperature unless stated otherwise.",1
10.1002/advs.201902820,"Preparation of the c-Cu2O, o-Cu2O, and t-Cu2O Particles: Cu2O particles were synthesized by wet chemical reduction method according to previous reports.[1,2] In a typical synthesis, polyvinylpyrrolidone (PVP, MW 24 000) (0 g for c-Cu2O, 4 g for t-Cu2O, and 6 g for o-Cu2O) was added into 100 mL CuCl2 ﹞ 2H2O aqueous solution. Then, 10.0 mL NaOH aqueous solution (2.0 m) was added dropwise into the above solution. After stirring for 30 min, 10.0 mL ascorbic acid solution (0.60 m) was added dropwise into the dark brown solution. The mixture was aged for 3 h and the solution gradually transferred into turbid red. All of the procedure was carried out under constant stirring and heated in a water bath at 55 ～C. The resulting precipitate was collected by centrifugation and decanting, followed by washing with distilled water 3 times and absolute ethanol 3 times and finally dried under vacuum at 60 ～C for 6 h.",1
10.1002/aenm.201803151,"GOs were synthesized following a modified Hummers＊ method as previously established,[36] which was applied as the precursors to synthesize graphene. Briefly, graphite (6 g), P2O5 (2 g), and K2S2O8 (2 g) were mixed in concentrated H2SO4 (98%) to be heated at 80 ～C for 10 h. Afterwards, the solid product (2 g) was continued to react with KMnO4 (6 g) in concentrated H2SO4 (98%) at 40 ～C for 2 h to generate GO. Before using GO, the dispersion solution of GO was dialyzed by copious amounts of water for 2-3 weeks. To achieve graphene, i) GO aqueous solution (1 mg mL?1) was sealed into a Teflon-lined stainless autoclave. The autoclave was heated at 150 ～C for 3 h to generate hydro-treated graphene. The product was freeze dried to remove residual water and was pyrolyzed under H2 (5%)/Ar (95%) atmosphere at 850 ～C for 1 h, resulting in hydrogen treated graphene.",1
10.1002/aenm.201901228,"Catalyst Synthesis: The catalyst powders containing paramelaconite were prepared by dissolving Cu(NO3)2﹞3H2O (50 ℅ 10?3 m) in an ethanol-DMF solvent mixture with the addition of formic acid and dimethylamine (10每40 ℅ 10?3 m) (further details in the Supporting Information). The reaction mixture was held inside an autoclave for 20每72 h under 130 ～C. After the desired reaction time, the reaction mixture was cooled down to room temperature using an ice bath, the supernatant was removed, and the remaining precipitated solid product was collected by centrifugation. Obtained powders were then washed with ethanol and deionized water five times, dried under vacuum and stored inside an inert glove-box atmosphere.",1
10.1002/aenm.201901228,"GDE Preparation: A gas diffusion layer (GDL) (Freudenberg H23C2) which contains a microporous carbon black layer and a fiber-based PTFE-bounded back bone was used as catalyst support. Catalyst ink was prepared by dispersing the catalyst powder (90 mg) in 1-propanol (3 mL). Additionally, Sustainion XA-9 ionomer (Dioxide Materials) (25 米L) was added to the catalyst ink. The mixture was sonicated for 20 min. The GDE was then prepared by air-brushing the prepared catalyst ink on top of the GDL. After air-brushing, the GDE was left to dry overnight at room temperature. The GDL was weighted before and after catalyst deposition to determine the catalyst loading. The catalyst loading was determined to be 1.5 mg cm?2 (㊣ 0.2). During spray coating, ＞50 wt% of catalyst was lost. Both the GDEs containing PrC and the reference Cu2O powder were prepared following the same procedure as described above.",1
10.1002/aenm.201901396,"The Cu2O/CuO@M nanowires (M = Ni, Fe, Co) were synthesized using a two-step procedure (Figure 1a). First, Cu2O/CuO nanowires were primarily grown on Cu foam through calcination (Figure S1, Supporting Information). Scanning electron microscopy (SEM) images confirmed the nanowire arrays morphology of the Cu2O/CuO with 200每300 nm diameter (Figure 1b) on the surface of Cu foam (Figure S2, Supporting Information). Motivated by the electronic interaction concept that occurs when transition metals hybridized with another transition metal compounds,[10] the Cu2O/CuO@M nanowires (M = Ni, Fe, Co) structures were achieved via a rapid galvanic replacement method in 5 min. Nanoparticles of Ni (Figure 1c), Fe (Figure S3, Supporting Information), and Co (Figure S4, Supporting Information) were uniformly distributed on Cu2O/ CuO nanowires. Compared with the smooth nanowire surface ? 2019 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim1901396 (3 of 9) of Cu2O/CuO (Figure 1b), the transmission electron microscopy (TEM) analysis in Figure 1d shows that the nanowires of Cu2O/CuO@Ni hybrid are characterized with nanoparticles. The presence of Cu2O phase in pristine Cu2O/CuO, Cu2O/ CuO@Co, Cu2O/Cu @Fe, and Cu2O/CuO@Ni nanowires was confirmed by X-ray diffraction (XRD) analyses (Figure S5, Supporting Information). The (110), (111), (200), (220), and (311) phases of Cu2O (JCPDS no. 34-1354) were identified by the XRD spectra for all the samples in Figure S5a in the Supporting Information. The enlarged XRD spectra in Figure S5b in the Supporting Information show the (200) and (?112) phases of CuO (JCPDS no. 45-0937), suggesting the heterostructure between Cu2O and CuO. In addition, the (110) phase of Cu2O shows an increase after metal coating, indicating that the loading of nanoparticles could improve the content of Cu2O.",1
10.1002/aenm.201901396,"Synthesis of Cu2O/CuO@M Nanowires (M = Ni, Fe, Co): The Cu2O/ CuO@M nanowires (M = Ni, Fe, Co) grown on Cu foam were prepared as follows. In a typical synthesis, the Cu foam (4 cm ℅ 6 cm) was annealed in air at 150 ～C for 2 h under air atmosphere with a heating rate of 5 ～C min?1. The furnace was allowed to cool to room temperature and the Cu2O/CuO nanowires were obtained. The as-prepared Cu2O/ CuO nanowires were immersed in Ni(NO3)2 aqueous solution (50 mL, 10 ℅ 10?3 m) at 60 ～C for 5 min. The resulting Cu2O/CuO@Ni nanowires were washed by DI water and ethanol several times and dried in the oven at 60 ～C. To control the composition of Cu2O/CuO@M nanowires (M = Ni, Fe, Co), the Au precursors were replaced by Fe(NO3)3 and Co(NO3)2 for Cu2O/CuO@Fe and Cu2O/CuO@Co nanowires syntheses, respectively.",1
10.1002/aenm.201903423,"CuOx (EPRUI Nanoparticles & Microspheres Co. Ltd.) was cleaned by annealing under argon at 150 ～C for 3 h before the experiments. The lithiated CuOx nanoparticles were prepared using the following procedures described in our previous work.[39] At first, CuOx nanoparticles were mixed with 5 wt% polyvinylidene fluoride (PVDF) dispersed in N-methyl-2-pyrrolidinone (NMP). Next, the black slurry was uniformly coated onto a Cu foil and dried overnight in a vacuum oven at 80 ～C. A coin-type cell with the Li foil as the counter electrode and 1 m LiPF6 dissolved in a mixture of ethyl carbonate (EC) and diethyl carbonate (DEC) as the electrolyte (1/1 = v/v) were used for the electrochemical lithiation. The cells containing the Li foil and working electrodes were assembled with a separator (Celgard) and an electrolyte in an Ar-filled glove box (O2 < 0.1 ppm and H2O < 0.1 ppm). The lithiation process was monitored using a VSP potentiostat (Bio-logic) to maintain the static current of 10 mA g?1. After the lithiation process was carried out, the resulting samples produced at each process step were washed with acetone, water, and 1 ℅ 10?3 m acetic acid solution to remove residual electrolytes, Li2O, and solid electrolyte interlayers.",1
10.1002/anie.201410233,"OD-Cu substrate was obtained by thermally oxidizing a Cu metal sheet at 773 K for 2 h in static air.[13] This treatment led to the formation of a hairy CuO nanowire structure on Cu2O-Cu layers, [13] resulting in a surface rough- [*] Dr. S. Rasul, Dr. A. Jedidi, Dr. Y. Minenkov, Prof. L. Cavallo, Prof. K. Takanabe Division of Physical Sciences and Engineering KAUST Catalysis Center (KCC) King Abdullah University of Science and Technology (KAUST) 4700 KAUST, 23955-6900 Thuwal (Saudi Arabia) E-mail: kazuhiro.takanabe@kaust.edu.sa",1
10.1002/anie.201601282,"Cu(OH)2 NWs were first synthesized on Cu foils by immersing Cu foils into a solution mixture containing 0.133m (NH3)2S2O8 and 2.667m NaOH. [22, 23] The increased length of Cu(OH)2 NWs was obtained by immersing Cu foils in the solution mixture for longer time. After a discrete synthesis time, the Cu foils were taken out from the solution, rinsed with de-ionized water and absolute ethanol, and dried with nitrogen. CuO NWs were then fabricated by annealing the Cu(OH)2 NW arrays at 150 8C for 2 hours in air. [21] The resulting CuO NW arrays were directly used in the electroreduction of CO2, and were electrochemically reduced to Cu NW arrays during electrolysis.[21] Thus, the annealed Cu(OH)2 NWs with gradually increased length and density were electrochemically reduced to Cu NWs with corresponding increased length and density. [*] M. Ma, Dr. W. A. Smith Materials for Energy Conversion and Storage (MECS), Department of Chemical Engineering, Delft University of Technology P.O. Box 5045, 2600 GA Delft (The Netherlands) E-mail: W.Smith@tudelft.nl",1
10.1002/anie.201601582,"Experimental Section NCs synthesis: Cu NCs spheres and cubes were synthesized according to modifications of literature methods.[21] For the synthesis of Cu cubes of 24 nm, CuBr (3 mmol) and TOPO (25 mmol) were dissolved into oleylamine (10 mL) in a three-necked flask by vigorous magnetic stirring at 80 8C for 15 min. Then the resulting solution was heated up to 210 8C quickly and refluxed at this temperature for 1 h before cooling down to room temperature naturally. In order to obtain Cu nanocubes with a larger edge length (44 nm), the content of TOPO was reduced to 7.5 mmol and the content of CuBr to 1.5 mmol dissolved in 35 mL of oleylamine. Then the resulting solution was heated up to 220 8C quickly and refluxed at this temperature for 1 h. In order to obtain Cu nanocubes with a larger edge length (63 nm), the content of TOPO was reduced to 2.5 mmol, while the temperature and the aging time was increased to 2608C and 2.5 h, respectively. Cu NCs spheres were obtained by following similar procedure. For the synthesis of Cu spheres of 27 nm, oleylamine (35 mL) and CuBr (3 mmol) were mixed in a three-necked flask by strong magnetic stirring at 80 8C for 15 min, then TOP (6 mmol) was injected into the obtained green solution, which immediately became colorless. After 5791Angew. Chem. Int. Ed. 2016, 55, 5789 每5792 車 2016 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim www.angewandte.org an additional stirring at 80 8C for 5 min, the mixed solution was heated up to 2608C quickly and kept at this temperature for 3 h before cooling down to room temperature naturally. Excess hexane was added to the bright reddish solution, and the Cu cubes were precipitated out by centrifugation. The volume of hexane in which the nanocrystals were suspended was adjusted in order to have a concentration of 1.5 mgmL⊿1 for each solution.",1
10.1002/anie.202016898,"The B-Cu catalyst was synthesized by a facile and scalable method[22,28, 29] using concentrated sodium borohydride (NaBH4) as both the reducing agent and boron source under continuous Ar purging. Zn nanosheets were synthesized by electrochemical deposition of Zn on a Cu foil followed by scratching them off. Figure 1A displays the X-ray diffraction (XRD) pattern of the as-synthesized B-Cu sample. The main peaks at 2q values of 43.38, 50.48, and 74.18 are corresponding to the (111), (200) and (220) planes, respectively, of cubic metallic Cu with a space group of Fm3?m (COD: 9013014). In addition, weak peaks of cubic Cu2O (111), (200), and (220) planes with a space group of Pn3?m (COD: 1000063) are observed due to oxidation in air or Cu-B interaction with the solvent during synthesis. Similarly, peaks assigned to hexagonal Zn (P63/mmc, COD: 9012435) and ZnO (P63mc, COD: 9008877) are both observed in the XRD pattern of the assynthesized Zn sample (Figure 1 B), with the intensity of the oxide peaks being notably higher compared to B-Cu due to faster oxidation of metallic Zn.",1
10.1002/anie.202102606,"The CuOHFCl NSs were prepared via a facile hydrothermal method. The sapphire powder of as-prepared CuOHFCl NSs can be synthesized at gram-scale in a single hydrothermal synthesis using an autoclave of 100 milliliters (Figure 1a). The X-ray diffraction (XRD) pattern and Rietveld refinement result of the CuOHFCl NSs were shown in Figure 1b (Rwp = 9.63%, Rp = 11.4%). The asprepared CuOHFCl NSs possesses kagome layered structure with CuI atoms in the kagome lattice and CuII atoms between kagome layers (Figure 1c).[20] Scanning electron microscopy (SEM) and transmission electron microscopy (TEM) confirmed the sheet-like morphology of the as-prepared CuOHFCl NSs with a few microns in planar scale and about tens of nanometers in thickness (Figure 1 d and Figure S2). Both the high-resolution transmission electron microscopy (HR-TEM) (Figure 1e) and the selective area electron diffraction (SAED) pattern (Figure 1 f) pointed out a highly ordered hexagonal crystalline structure. The energy dispersive spectroscopy (EDS) elemental mapping analysis shows the uniform distribution of elemental Cu, Cl, F, and O (Figure 1g每j). The XPS analysis also confirmed the existence of Cl (7.23 at%) and F (6.61 at%) in the as-prepared CuOHFCl nanosheet (Figure 1k每n and Table S1).",1
10.1002/anie.202108388,"For the preparation of Cu-TDPP and its nanosheet, CuTDPP is firstly prepared and characterized. Cu-TDPP, possessing a structure isomorphic to HOF-7, is synthesized via a facile solvothermal method. Cu-TDPP belongs to the triclinic system with space group of P1?.[15] It presents a 3D layer network, in which subunit of TDPP is connected by the intermolecular hydrogen-bonding and p-p interaction, displaying a microporous structure with two kinds of pore-sizes (i.e. 3.2 4.7 2 and 4.2 6.7 2) (Figures 1b and S1). The powder X-ray diffraction (PXRD) pattern confirms that the as-synthesized Cu-TDPP is well crystalline, which is similar to simulated pattern (Figure 1a). The chemical component of",1
